year,month,spx_tr_real,y10_bm_real,cpi,spx_tr_cum,y10_bm_cum,cape_shiller
1871,1,,,12.464,100.00,100.00,11.0973
1871,2,-0.0115000000,-0.0074000000,12.845,101.87,102.29,10.9193
1871,3,0.0144000000,-0.0036000000,13.035,104.87,103.44,11.1932
1871,4,0.0733000000,0.0540000000,12.559,108.45,105.05,12.0802
1871,5,0.0518000000,0.0396000000,12.274,111.47,106.73,12.5978
1871,6,0.0122000000,0.0274000000,12.083,111.08,107.95,12.6060
1871,7,-0.0138000000,-0.0122000000,12.083,109.55,106.63,12.2862
1871,8,0.0311000000,0.0243000000,11.893,111.18,107.50,12.5467
1871,9,-0.0091000000,-0.0107000000,12.179,112.81,108.91,12.3054
1871,10,-0.0618000000,-0.0183000000,12.369,107.49,108.59,11.4707
1871,11,0.0153000000,0.0059000000,12.369,109.13,109.22,11.5951
1871,12,0.0054000000,-0.0147000000,12.654,112.25,110.10,11.6069
1872,1,0.0282000000,-0.0253000000,12.654,115.42,107.31,11.9027
1872,2,0.0097000000,-0.0008000000,12.654,116.54,107.23,11.9771
1872,3,0.0197000000,-0.0066000000,12.845,120.62,108.12,12.1664
1872,4,0.0116000000,0.0023000000,13.130,124.73,110.78,12.2671
1872,5,0.0043000000,0.0247000000,13.130,125.26,113.52,12.2902
1872,6,0.0019000000,0.0229000000,13.035,124.59,115.28,12.2770
1872,7,0.0118000000,-0.0033000000,12.845,124.23,113.22,12.3739
1872,8,-0.0146000000,-0.0043000000,12.940,123.32,113.58,12.1247
1872,9,-0.0169000000,-0.0162000000,13.035,122.12,112.56,11.8512
1872,10,0.0303000000,0.0392000000,12.749,123.07,114.41,12.1415
1872,11,-0.0265000000,-0.0207000000,13.130,123.38,115.39,11.7401
1872,12,0.0428000000,0.0267000000,12.940,126.80,116.75,12.1753
1873,1,0.0122000000,-0.0115000000,12.940,128.35,115.41,12.2485
1873,2,-0.0073000000,-0.0148000000,13.225,130.23,116.21,12.0830
1873,3,-0.0044000000,0.0135000000,13.225,129.65,117.77,11.9581
1873,4,-0.0091000000,0.0123000000,13.225,128.47,119.22,11.7732
1873,5,0.0303000000,0.0416000000,12.940,129.50,121.49,12.0502
1873,6,0.0234000000,0.0470000000,12.559,128.64,123.46,12.2386
1873,7,0.0033000000,-0.0205000000,12.559,129.07,120.93,12.1707
1873,8,0.0058000000,0.0025000000,12.559,129.82,121.24,12.1335
1873,9,-0.0717000000,-0.0184000000,12.559,120.51,119.01,11.1590
1873,10,-0.0589000000,0.0040000000,12.274,110.84,116.77,10.3968
1873,11,0.0014000000,0.0341000000,11.893,107.56,117.01,10.3083
1873,12,0.0757000000,0.0289000000,12.179,118.48,123.28,10.9744
1874,1,0.0416000000,-0.0245000000,12.369,125.34,122.14,11.3380
1874,2,0.0336000000,0.0236000000,12.369,129.55,125.03,11.6334
1874,3,-0.0087000000,0.0105000000,12.369,128.43,126.34,11.4482
1874,4,-0.0093000000,0.0265000000,12.179,125.28,127.70,11.2591
1874,5,-0.0113000000,0.0124000000,12.083,122.89,128.28,11.0370
1874,6,0.0242000000,0.0315000000,11.798,122.89,129.20,11.2055
1874,7,-0.0025000000,-0.0381000000,11.893,123.57,125.28,11.0750
1874,8,0.0164000000,0.0133000000,11.798,124.60,125.93,11.1587
1874,9,0.0223000000,0.0009000000,11.798,127.37,126.04,11.3070
