DD-MM-YYYY,value
01-01-1871,100.00
01-02-1871,102.29
01-03-1871,103.44
01-04-1871,105.05
01-05-1871,106.73
01-06-1871,107.95
01-07-1871,106.63
01-08-1871,107.50
01-09-1871,108.91
01-10-1871,108.59
01-11-1871,109.22
01-12-1871,110.10
01-01-1872,107.31
01-02-1872,107.23
01-03-1872,108.12
01-04-1872,110.78
01-05-1872,113.52
01-06-1872,115.28
01-07-1872,113.22
01-08-1872,113.58
01-09-1872,112.56
01-10-1872,114.41
01-11-1872,115.39
01-12-1872,116.75
01-01-1873,115.41
01-02-1873,116.21
01-03-1873,117.77
01-04-1873,119.22
01-05-1873,121.49
01-06-1873,123.46
01-07-1873,120.93
01-08-1873,121.24
01-09-1873,119.01
01-10-1873,116.77
01-11-1873,117.01
01-12-1873,123.28
01-01-1874,122.14
01-02-1874,125.03
01-03-1874,126.34
01-04-1874,127.70
01-05-1874,128.28
01-06-1874,129.20
01-07-1874,125.28
01-08-1874,125.93
01-09-1874,126.04
01-10-1874,126.70
01-11-1874,128.85
01-12-1874,131.36
01-01-1875,129.97
01-02-1875,131.47
01-03-1875,132.13
01-04-1875,134.33
01-05-1875,136.60
01-06-1875,138.61
01-07-1875,133.67
01-08-1875,134.08
01-09-1875,134.33
01-10-1875,135.23
01-11-1875,136.41
01-12-1875,137.81
01-01-1876,136.08
01-02-1876,137.91
01-03-1876,137.97
01-04-1876,138.09
01-05-1876,138.64
01-06-1876,140.44
01-07-1876,138.15
01-08-1876,135.92
01-09-1876,133.98
01-10-1876,133.45
01-11-1876,134.38
01-12-1876,134.65
01-01-1877,132.02
01-02-1877,131.92
01-03-1877,131.44
01-04-1877,132.85
01-05-1877,135.25
01-06-1877,133.93
01-07-1877,134.44
01-08-1877,133.67
01-09-1877,130.83
01-10-1877,130.86
01-11-1877,132.01
01-12-1877,131.95
01-01-1878,132.38
01-02-1878,132.82
01-03-1878,132.36
01-04-1878,131.73
01-05-1878,134.62
01-06-1878,133.58
01-07-1878,132.87
01-08-1878,133.56
01-09-1878,134.08
01-10-1878,133.53
01-11-1878,134.31
01-12-1878,135.09
01-01-1879,134.53
01-02-1879,135.49
01-03-1879,135.35
01-04-1879,136.81
01-05-1879,140.42
01-06-1879,140.10
01-07-1879,139.54
01-08-1879,139.74
01-09-1879,141.23
01-10-1879,141.79
01-11-1879,143.55
01-12-1879,144.97
01-01-1880,145.78
01-02-1880,149.41
01-03-1880,151.03
01-04-1880,151.68
01-05-1880,153.56
