date,value
1871-01-01,11.0973
1871-02-01,10.9193
1871-03-01,11.1932
1871-04-01,12.0802
1871-05-01,12.5978
1871-06-01,12.6060
1871-07-01,12.2862
1871-08-01,12.5467
1871-09-01,12.3054
1871-10-01,11.4707
1871-11-01,11.5951
1871-12-01,11.6069
1872-01-01,11.9027
1872-02-01,11.9771
1872-03-01,12.1664
1872-04-01,12.2671
1872-05-01,12.2902
1872-06-01,12.2770
1872-07-01,12.3739
1872-08-01,12.1247
1872-09-01,11.8512
1872-10-01,12.1415
1872-11-01,11.7401
1872-12-01,12.1753
1873-01-01,12.2485
1873-02-01,12.0830
1873-03-01,11.9581
1873-04-01,11.7732
1873-05-01,12.0502
1873-06-01,12.2386
1873-07-01,12.1707
1873-08-01,12.1335
1873-09-01,11.1590
1873-10-01,10.3968
1873-11-01,10.3083
1873-12-01,10.9744
1874-01-01,11.3380
1874-02-01,11.6334
1874-03-01,11.4482
1874-04-01,11.2591
1874-05-01,11.0370
1874-06-01,11.2055
1874-07-01,11.0750
1874-08-01,11.1587
1874-09-01,11.3070
1874-10-01,11.4248
1874-11-01,11.5427
1874-12-01,11.4712
1875-01-01,11.4332
1875-02-01,11.3707
1875-03-01,11.4699
1875-04-01,11.5104
1875-05-01,11.3465
1875-06-01,11.2713
1875-07-01,11.2916
1875-08-01,11.2526
1875-09-01,11.2202
1875-10-01,11.0625
1875-11-01,11.3251
1875-12-01,11.4321
1876-01-01,11.8066
1876-02-01,11.9840
1876-03-01,11.9667
1876-04-01,11.6253
1876-05-01,11.6223
1876-06-01,11.8970
1876-07-01,11.7692
1876-08-01,11.1814
1876-09-01,10.4314
1876-10-01,10.1953
1876-11-01,9.9587
1876-12-01,9.7434
1877-01-01,9.5390
1877-02-01,9.2434
1877-03-01,9.1987
1877-04-01,8.3356
1877-05-01,8.2071
1877-06-01,8.0703
1877-07-01,8.3373
1877-08-01,9.2832
1877-09-01,9.9614
1877-10-01,10.2027
1877-11-01,10.2609
1877-12-01,10.2293
1878-01-01,10.5526
1878-02-01,10.4608
1878-03-01,10.8513
1878-04-01,11.3036
1878-05-01,11.7203
1878-06-01,12.2449
1878-07-01,12.3147
1878-08-01,12.0365
1878-09-01,12.2876
1878-10-01,12.2843
1878-11-01,12.3680
1878-12-01,12.5513
1879-01-01,12.8824
1879-02-01,13.1596
1879-03-01,13.1133
1879-04-01,13.6478
1879-05-01,14.2489
1879-06-01,14.5204
1879-07-01,14.5390
1879-08-01,14.6360
1879-09-01,14.6207
1879-10-01,15.3122
1879-11-01,15.2809
1879-12-01,14.7724
1880-01-01,14.8744
1880-02-01,15.1456
1880-03-01,15.2315
1880-04-01,15.4705
1880-05-01,14.6461
1880-06-01,14.9465
1880-07-01,15.5962
1880-08-01,16.1231
1880-09-01,15.8649
1880-10-01,16.2637
1880-11-01,16.8998
1880-12-01,17.3321
1881-01-01,18.4700
1881-02-01,18.1500
1881-03-01,18.2700
1881-04-01,17.9500
1881-05-01,18.8700
1881-06-01,19.0300
1881-07-01,18.1200
1881-08-01,17.2900
1881-09-01,16.7200
1881-10-01,16.2747
1881-11-01,16.4800
1881-12-01,15.9600
1882-01-01,15.6800
1882-02-01,15.1500
1882-03-01,15.0900
1882-04-01,14.9200
1882-05-01,14.5700
1882-06-01,14.3300
1882-07-01,15.2400
1882-08-01,15.5300
1882-09-01,16.0800
1882-10-01,15.7821
1882-11-01,15.1900
1882-12-01,15.3800
1883-01-01,15.2700
1883-02-01,14.7600
1883-03-01,15.0500
1883-04-01,15.4800
1883-05-01,15.3400
1883-06-01,15.9000
1883-07-01,15.9500
1883-08-01,15.2000
1883-09-01,15.4900
1883-10-01,15.0590
1883-11-01,15.4100
1883-12-01,14.9000
1884-01-01,14.4300
1884-02-01,14.8100
1884-03-01,14.7400
1884-04-01,14.3500
1884-05-01,13.4700
1884-06-01,12.9100
1884-07-01,13.0400
1884-08-01,13.8600
1884-09-01,13.5700
1884-10-01,13.2700
1884-11-01,13.3000
1884-12-01,13.4300
1885-01-01,13.1300
1885-02-01,13.3800
1885-03-01,13.7300
1885-04-01,13.5500
1885-05-01,13.7100
1885-06-01,13.9800
1885-07-01,14.3300
1885-08-01,15.1300
1885-09-01,15.1200
1885-10-01,15.9910
1885-11-01,16.8200
1885-12-01,16.3000
1886-01-01,16.6900
1886-02-01,17.0100
1886-03-01,16.8400
1886-04-01,16.8000
1886-05-01,16.8600
1886-06-01,17.8300
1886-07-01,17.8500
1886-08-01,17.7200
1886-09-01,18.1500
1886-10-01,18.5624
1886-11-01,18.9700
1886-12-01,18.1900
1887-01-01,17.5100
1887-02-01,17.1300
1887-03-01,17.4700
1887-04-01,17.8200
1887-05-01,18.0800
1887-06-01,17.7100
1887-07-01,17.4300
1887-08-01,16.7400
1887-09-01,16.6800
1887-10-01,15.8807
