date,value
1871-01-01,12.464
1871-02-01,12.845
1871-03-01,13.035
1871-04-01,12.559
1871-05-01,12.274
1871-06-01,12.083
1871-07-01,12.083
1871-08-01,11.893
1871-09-01,12.179
1871-10-01,12.369
1871-11-01,12.369
1871-12-01,12.654
1872-01-01,12.654
1872-02-01,12.654
1872-03-01,12.845
1872-04-01,13.130
1872-05-01,13.130
1872-06-01,13.035
1872-07-01,12.845
1872-08-01,12.940
1872-09-01,13.035
1872-10-01,12.749
1872-11-01,13.130
1872-12-01,12.940
1873-01-01,12.940
1873-02-01,13.225
1873-03-01,13.225
1873-04-01,13.225
1873-05-01,12.940
1873-06-01,12.559
1873-07-01,12.559
1873-08-01,12.559
1873-09-01,12.559
1873-10-01,12.274
1873-11-01,11.893
1873-12-01,12.179
1874-01-01,12.369
1874-02-01,12.369
1874-03-01,12.369
1874-04-01,12.179
1874-05-01,12.083
1874-06-01,11.798
1874-07-01,11.893
1874-08-01,11.798
1874-09-01,11.798
1874-10-01,11.608
1874-11-01,11.513
1874-12-01,11.513
1875-01-01,11.513
1875-02-01,11.513
1875-03-01,11.513
1875-04-01,11.608
1875-05-01,11.322
1875-06-01,11.132
1875-07-01,11.132
1875-08-01,11.227
1875-09-01,11.132
1875-10-01,11.132
1875-11-01,11.037
1875-12-01,10.942
1876-01-01,10.847
1876-02-01,10.847
1876-03-01,10.847
1876-04-01,10.751
1876-05-01,10.371
1876-06-01,10.085
1876-07-01,10.085
1876-08-01,10.181
1876-09-01,10.276
1876-10-01,10.466
1876-11-01,10.561
1876-12-01,10.751
1877-01-01,10.942
1877-02-01,10.656
1877-03-01,10.181
1877-04-01,10.466
1877-05-01,10.656
1877-06-01,10.085
1877-07-01,10.181
1877-08-01,9.800
1877-09-01,9.705
1877-10-01,9.705
1877-11-01,9.515
1877-12-01,9.515
1878-01-01,9.229
1878-02-01,9.134
1878-03-01,8.944
1878-04-01,8.849
1878-05-01,8.563
1878-06-01,8.373
1878-07-01,8.468
1878-08-01,8.563
1878-09-01,8.563
1878-10-01,8.468
1878-11-01,8.373
1878-12-01,8.183
1879-01-01,8.278
1879-02-01,8.373
1879-03-01,8.278
1879-04-01,8.183
1879-05-01,8.183
1879-06-01,8.087
1879-07-01,8.183
1879-08-01,8.183
1879-09-01,8.468
1879-10-01,8.944
1879-11-01,9.419
1879-12-01,9.705
