experiment,horizon,cape_regime,equity_allocation,success_count,total_cohorts,success_rate_pct
A,30Y,BELOW_15,10%,341,612,55.72
A,30Y,BELOW_15,25%,550,612,89.87
A,30Y,BELOW_15,50%,612,612,100.00
A,30Y,BELOW_15,75%,612,612,100.00
A,30Y,BELOW_15,100%,612,612,100.00
A,30Y,MODERATE,10%,178,404,44.06
A,30Y,MODERATE,25%,270,404,66.83
A,30Y,MODERATE,50%,383,404,94.80
A,30Y,MODERATE,75%,404,404,100.00
A,30Y,MODERATE,100%,404,404,100.00
A,30Y,HIGH,10%,26,145,17.93
A,30Y,HIGH,25%,31,145,21.38
A,30Y,HIGH,50%,99,145,68.28
A,30Y,HIGH,75%,134,145,92.41
A,30Y,HIGH,100%,118,145,81.38
A,30Y,EXTREME,10%,2,2,100.00
A,30Y,EXTREME,25%,2,2,100.00
A,30Y,EXTREME,50%,2,2,100.00
A,30Y,EXTREME,75%,1,2,50.00
A,30Y,EXTREME,100%,0,2,0.00
