experiment,horizon,cape_regime,equity_allocation,success_count,total_cohorts,success_rate_pct
B,30Y,BELOW_15,10%,269,612,43.95
B,30Y,BELOW_15,25%,293,612,47.88
B,30Y,BELOW_15,50%,558,612,91.18
B,30Y,BELOW_15,75%,588,612,96.08
B,30Y,BELOW_15,100%,593,612,96.90
B,30Y,MODERATE,10%,36,404,8.91
B,30Y,MODERATE,25%,71,404,17.57
B,30Y,MODERATE,50%,198,404,49.01
B,30Y,MODERATE,75%,363,404,89.85
B,30Y,MODERATE,100%,371,404,91.83
B,30Y,HIGH,10%,0,145,0.00
B,30Y,HIGH,25%,22,145,15.17
B,30Y,HIGH,50%,26,145,17.93
B,30Y,HIGH,75%,53,145,36.55
B,30Y,HIGH,100%,60,145,41.38
B,30Y,EXTREME,10%,0,2,0.00
B,30Y,EXTREME,25%,1,2,50.00
B,30Y,EXTREME,50%,1,2,50.00
B,30Y,EXTREME,75%,0,2,0.00
B,30Y,EXTREME,100%,0,2,0.00
