experiment,horizon,cape_regime,equity_allocation,success_count,total_cohorts,success_rate_pct
C,30Y,BELOW_15,10%,283,612,46.24
C,30Y,BELOW_15,25%,361,612,58.99
C,30Y,BELOW_15,50%,610,612,99.67
C,30Y,BELOW_15,75%,612,612,100.00
C,30Y,BELOW_15,100%,612,612,100.00
C,30Y,MODERATE,10%,81,404,20.05
C,30Y,MODERATE,25%,131,404,32.43
C,30Y,MODERATE,50%,371,404,91.83
C,30Y,MODERATE,75%,400,404,99.01
C,30Y,MODERATE,100%,403,404,99.75
C,30Y,HIGH,10%,14,145,9.66
C,30Y,HIGH,25%,29,145,20.00
C,30Y,HIGH,50%,83,145,57.24
C,30Y,HIGH,75%,122,145,84.14
C,30Y,HIGH,100%,121,145,83.45
C,30Y,EXTREME,10%,1,2,50.00
C,30Y,EXTREME,25%,2,2,100.00
C,30Y,EXTREME,50%,2,2,100.00
C,30Y,EXTREME,75%,1,2,50.00
C,30Y,EXTREME,100%,0,2,0.00
