experiment,horizon,cape_regime,equity_allocation,success_count,total_cohorts,success_rate_pct
D,60Y,BELOW_15,10%,47,455,10.33
D,60Y,BELOW_15,25%,192,455,42.20
D,60Y,BELOW_15,50%,450,455,98.90
D,60Y,BELOW_15,75%,455,455,100.00
D,60Y,BELOW_15,100%,455,455,100.00
D,60Y,MODERATE,10%,28,306,9.15
D,60Y,MODERATE,25%,66,306,21.57
D,60Y,MODERATE,50%,272,306,88.89
D,60Y,MODERATE,75%,306,306,100.00
D,60Y,MODERATE,100%,306,306,100.00
D,60Y,HIGH,10%,0,71,0.00
D,60Y,HIGH,25%,0,71,0.00
D,60Y,HIGH,50%,33,71,46.48
D,60Y,HIGH,75%,70,71,98.59
D,60Y,HIGH,100%,62,71,87.32
D,60Y,EXTREME,10%,0,2,0.00
D,60Y,EXTREME,25%,0,2,0.00
D,60Y,EXTREME,50%,2,2,100.00
D,60Y,EXTREME,75%,1,2,50.00
D,60Y,EXTREME,100%,0,2,0.00
