DD-MM-YYYY,value
01-01-1871,12.767661
01-02-1871,13.0604742
01-03-1871,13.2069156
01-04-1871,13.4126529
01-05-1871,13.6269072
01-06-1871,13.7826088
01-07-1871,13.6140646
01-08-1871,13.7251061
01-09-1871,13.9047597
01-10-1871,13.8637732
01-11-1871,13.9452843
01-12-1871,14.0575349
01-01-1872,13.70134
01-02-1872,13.6908874
01-03-1872,13.8048028
01-04-1872,14.1443674
01-05-1872,14.493467
01-06-1872,14.7181926
01-07-1872,14.4558708
01-08-1872,14.5009319
01-09-1872,14.3711214
01-10-1872,14.6075107
01-11-1872,14.7322376
01-12-1872,14.9064746
01-01-1873,14.7346442
01-02-1873,14.8370322
01-03-1873,15.0367961
01-04-1873,15.2210649
01-05-1873,15.5118672
01-06-1873,15.7632018
01-07-1873,15.4399112
01-08-1873,15.479016
01-09-1873,15.1944582
01-10-1873,14.9088883
01-11-1873,14.9398603
01-12-1873,15.7403927
01-01-1874,15.5947326
01-02-1874,15.9632362
01-03-1874,16.1311088
01-04-1874,16.3046418
01-05-1874,16.3782234
01-06-1874,16.4954472
01-07-1874,15.9948287
01-08-1874,16.0782654
01-09-1874,16.0925915
01-10-1874,16.1765719
01-11-1874,16.4517279
01-12-1874,16.7720881
01-01-1875,16.5943191
01-02-1875,16.7851179
01-03-1875,16.869929
01-04-1875,17.1507827
01-05-1875,17.4410876
01-06-1875,17.696749
01-07-1875,17.0671426
01-08-1875,17.1184815
01-09-1875,17.1509399
01-10-1875,17.2654748
01-11-1875,17.4167904
01-12-1875,17.5953105
01-01-1876,17.3736232
01-02-1876,17.6084909
01-03-1876,17.6152254
01-04-1876,17.6302591
01-05-1876,17.7008324
01-06-1876,17.930365
01-07-1876,17.6386886
01-08-1876,17.3541351
01-09-1876,17.1066884
01-10-1876,17.0382987
01-11-1876,17.1571725
01-12-1876,17.1922788
01-01-1877,16.8554459
01-02-1877,16.8427989
01-03-1877,16.7815654
01-04-1877,16.9616305
