DD-MM-YYYY,value
01-01-1871,12.46406116
01-02-1871,12.84464132
01-03-1871,13.0349719
01-04-1871,12.55922645
01-05-1871,12.27381157
01-06-1871,12.08348099
01-07-1871,12.08348099
01-08-1871,11.8932314
01-09-1871,12.17864628
01-10-1871,12.36889587
01-11-1871,12.36889587
01-12-1871,12.65439174
01-01-1872,12.65439174
01-02-1872,12.65439174
01-03-1872,12.84464132
01-04-1872,13.13013719
01-05-1872,13.13013719
01-06-1872,13.0349719
01-07-1872,12.84464132
01-08-1872,12.93980661
01-09-1872,13.0349719
01-10-1872,12.74947603
01-11-1872,13.13013719
01-12-1872,12.93980661
01-01-1873,12.93980661
01-02-1873,13.22522149
01-03-1873,13.22522149
01-04-1873,13.22522149
01-05-1873,12.93980661
01-06-1873,12.55922645
01-07-1873,12.55922645
01-08-1873,12.55922645
01-09-1873,12.55922645
01-10-1873,12.27381157
01-11-1873,11.8932314
01-12-1873,12.17864628
01-01-1874,12.36889587
01-02-1874,12.36889587
01-03-1874,12.36889587
01-04-1874,12.17864628
01-05-1874,12.08348099
01-06-1874,11.79806612
01-07-1874,11.8932314
01-08-1874,11.79806612
01-09-1874,11.79806612
01-10-1874,11.60773554
01-11-1874,11.51265124
01-12-1874,11.51265124
01-01-1875,11.51265124
01-02-1875,11.51265124
01-03-1875,11.51265124
01-04-1875,11.60773554
01-05-1875,11.32232066
01-06-1875,11.13207107
01-07-1875,11.13207107
01-08-1875,11.22715537
01-09-1875,11.13207107
01-10-1875,11.13207107
01-11-1875,11.03690579
01-12-1875,10.9417405
01-01-1876,10.84657521
01-02-1876,10.84657521
01-03-1876,10.84657521
01-04-1876,10.75149091
01-05-1876,10.37091074
01-06-1876,10.08541488
01-07-1876,10.08541488
01-08-1876,10.18058017
01-09-1876,10.27574545
01-10-1876,10.46599504
01-11-1876,10.56116033
01-12-1876,10.75149091
01-01-1877,10.9417405
01-02-1877,10.65632562
01-03-1877,10.18058017
01-04-1877,10.46599504
01-05-1877,10.65632562
01-06-1877,10.08541488
01-07-1877,10.18058017
01-08-1877,9.8
01-09-1877,9.704834711
01-10-1877,9.704834711
01-11-1877,9.514585124
01-12-1877,9.514585124
01-01-1878,9.229089256
01-02-1878,9.134004959
01-03-1878,8.94367438
01-04-1878,8.848509091
01-05-1878,8.563094215
01-06-1878,8.372844628
01-07-1878,8.467928926
01-08-1878,8.563094215
01-09-1878,8.563094215
01-10-1878,8.467928926
01-11-1878,8.372844628
01-12-1878,8.18251405
01-01-1879,8.277679339
01-02-1879,8.372844628
01-03-1879,8.277679339
01-04-1879,8.18251405
01-05-1879,8.18251405
01-06-1879,8.087381157
01-07-1879,8.18251405
01-08-1879,8.18251405
01-09-1879,8.467928926
01-10-1879,8.94367438
01-11-1879,9.419419835
01-12-1879,9.704834711
