DD-MM-YYYY,value
01-01-1871,0.018285539
01-02-1871,0.0186269024
01-03-1871,0.0191754058
01-04-1871,0.0198299453
01-05-1871,0.0203837178
01-06-1871,0.0203121158
01-07-1871,0.0200317539
01-08-1871,0.020328947
01-09-1871,0.0206272985
01-10-1871,0.019654402
01-11-1871,0.0199558144
01-12-1871,0.0205263669
01-01-1872,0.0211055405
01-02-1872,0.0213092741
01-03-1872,0.0220563396
01-04-1872,0.0228070956
01-05-1872,0.0229045959
01-06-1872,0.0227827167
01-07-1872,0.0227156173
01-08-1872,0.0225496059
01-09-1872,0.0223307082
01-10-1872,0.0225031179
01-11-1872,0.0225613067
01-12-1872,0.0231861052
01-01-1873,0.0234692767
01-02-1873,0.0238128496
01-03-1873,0.0237071106
01-04-1873,0.0234912796
01-05-1873,0.0236804101
01-06-1873,0.0235225385
01-07-1873,0.0236005213
01-08-1873,0.0237379943
01-09-1873,0.022036768
01-10-1873,0.0202681808
01-11-1873,0.0196678624
01-12-1873,0.0216640524
01-01-1874,0.0229183722
01-02-1874,0.0236890744
01-03-1874,0.0234834998
01-04-1874,0.0229076203
01-05-1874,0.0224716913
01-06-1874,0.0224712472
01-07-1874,0.0225959626
01-08-1874,0.022783355
01-09-1874,0.0232904575
01-10-1874,0.0233547442
01-11-1874,0.0236114492
01-12-1874,0.0236778486
01-01-1875,0.0238183372
01-02-1875,0.0238951659
01-03-1875,0.0242993672
01-04-1875,0.0247619898
01-05-1875,0.0239650384
01-06-1875,0.0235654537
01-07-1875,0.0237553019
01-08-1875,0.0240125027
01-09-1875,0.023865445
01-10-1875,0.0236503525
01-11-1875,0.0241168898
01-12-1875,0.0242489298
01-01-1876,0.024944382
01-02-1876,0.0254359183
01-03-1876,0.0255022207
01-04-1876,0.0246474008
01-05-1876,0.0238561284
01-06-1876,0.0238457354
01-07-1876,0.0236850528
01-08-1876,0.0228069085
01-09-1876,0.0215630448
01-10-1876,0.0215388405
01-11-1876,0.0212952292
01-12-1876,0.0212734812
01-01-1877,0.0212350597
01-02-1877,0.0200829798
01-03-1877,0.0191456804
01-04-1877,0.0179012199
01-05-1877,0.0180017651
01-06-1877,0.0168088353
01-07-1877,0.017589596
01-08-1877,0.0189001451
01-09-1877,0.0201376424
