date,value
1871-01-01,100.00
1871-02-01,101.87
1871-03-01,104.87
1871-04-01,108.45
1871-05-01,111.47
1871-06-01,111.08
1871-07-01,109.55
1871-08-01,111.18
1871-09-01,112.81
1871-10-01,107.49
1871-11-01,109.13
1871-12-01,112.25
1872-01-01,115.42
1872-02-01,116.54
1872-03-01,120.62
1872-04-01,124.73
1872-05-01,125.26
1872-06-01,124.59
1872-07-01,124.23
1872-08-01,123.32
1872-09-01,122.12
1872-10-01,123.07
1872-11-01,123.38
1872-12-01,126.80
1873-01-01,128.35
1873-02-01,130.23
1873-03-01,129.65
1873-04-01,128.47
1873-05-01,129.50
1873-06-01,128.64
1873-07-01,129.07
1873-08-01,129.82
1873-09-01,120.51
1873-10-01,110.84
1873-11-01,107.56
1873-12-01,118.48
1874-01-01,125.34
1874-02-01,129.55
1874-03-01,128.43
1874-04-01,125.28
1874-05-01,122.89
1874-06-01,122.89
1874-07-01,123.57
1874-08-01,124.60
1874-09-01,127.37
1874-10-01,127.72
1874-11-01,129.13
1874-12-01,129.49
1875-01-01,130.26
1875-02-01,130.68
1875-03-01,132.89
1875-04-01,135.42
1875-05-01,131.06
1875-06-01,128.87
1875-07-01,129.91
1875-08-01,131.32
1875-09-01,130.52
1875-10-01,129.34
1875-11-01,131.89
1875-12-01,132.61
1876-01-01,136.42
1876-02-01,139.10
1876-03-01,139.47
1876-04-01,134.79
1876-05-01,130.46
1876-06-01,130.41
1876-07-01,129.53
1876-08-01,124.73
1876-09-01,117.92
1876-10-01,117.79
1876-11-01,116.46
1876-12-01,116.34
1877-01-01,116.13
1877-02-01,109.83
1877-03-01,104.70
1877-04-01,97.90
1877-05-01,98.45
1877-06-01,91.92
1877-07-01,96.19
1877-08-01,103.36
1877-09-01,110.13
1877-10-01,113.10
1877-11-01,111.84
1877-12-01,111.85
1878-01-01,112.31
1878-02-01,110.63
1878-03-01,112.83
1878-04-01,116.78
1878-05-01,117.69
1878-06-01,120.75
1878-07-01,123.38
1878-08-01,122.50
1878-09-01,125.63
1878-10-01,124.78
1878-11-01,124.84
1878-12-01,124.45
1879-01-01,129.93
1879-02-01,134.96
1879-03-01,133.67
1879-04-01,138.28
1879-05-01,145.23
1879-06-01,147.16
1879-07-01,150.02
1879-08-01,151.98
1879-09-01,158.12
1879-10-01,175.92
1879-11-01,185.86
1879-12-01,186.06
1880-01-01,193.78
1880-02-01,198.24
1880-03-01,202.22
1880-04-01,198.64
1880-05-01,183.65
1880-06-01,184.91
1880-07-01,194.36
1880-08-01,202.40
1880-09-01,202.73
1880-10-01,209.39
1880-11-01,221.46
1880-12-01,231.13
1881-01-01,245.74
1881-02-01,245.62
1881-03-01,249.43
1881-04-01,249.78
1881-05-01,261.61
1881-06-01,265.50
1881-07-01,257.38
1881-08-01,252.23
1881-09-01,255.19
1881-10-01,252.06
1881-11-01,254.53
1881-12-01,248.43
1882-01-01,245.32
1882-02-01,241.17
1882-03-01,241.67
1882-04-01,242.64
1882-05-01,240.52
1882-06-01,240.51
1882-07-01,255.28
1882-08-01,263.75
1882-09-01,267.50
1882-10-01,261.69
1882-11-01,251.57
1882-12-01,253.79
1883-01-01,253.86
1883-02-01,249.05
1883-03-01,253.49
1883-04-01,260.14
1883-05-01,256.37
1883-06-01,260.34
1883-07-01,257.13
1883-08-01,246.64
1883-09-01,250.68
1883-10-01,245.18
1883-11-01,249.85
1883-12-01,245.95
1884-01-01,239.73
1884-02-01,247.26
1884-03-01,247.33
1884-04-01,238.70
1884-05-01,219.50
1884-06-01,211.98
1884-07-01,213.20
1884-08-01,228.10
1884-09-01,221.51
1884-10-01,215.42
1884-11-01,212.33
1884-12-01,212.85
1885-01-01,209.04
1885-02-01,216.51
1885-03-01,218.07
1885-04-01,218.57
1885-05-01,217.07
1885-06-01,217.07
1885-07-01,226.13
1885-08-01,239.77
1885-09-01,237.68
1885-10-01,252.45
1885-11-01,269.81
1885-12-01,268.69
1886-01-01,269.64
1886-02-01,275.77
1886-03-01,270.98
1886-04-01,268.25
1886-05-01,263.95
1886-06-01,276.91
1886-07-01,282.01
1886-08-01,285.00
1886-09-01,293.32
1886-10-01,301.67
1886-11-01,310.04
1886-12-01,302.93
1887-01-01,300.65
1887-02-01,299.43
1887-03-01,307.41
1887-04-01,315.40
1887-05-01,321.80
1887-06-01,313.51
1887-07-01,306.91
1887-08-01,300.28
1887-09-01,297.49
1887-10-01,288.65
1887-11-01,295.33
1887-12-01,294.80
1888-01-01,298.17
1888-02-01,297.62
1888-03-01,287.50
1888-04-01,289.79
1888-05-01,294.90
1888-06-01,286.83
1888-07-01,295.34
1888-08-01,302.73
1888-09-01,311.27
1888-10-01,310.55
1888-11-01,305.14
1888-12-01,300.29
1889-01-01,307.10
1889-02-01,311.60
1889-03-01,306.13
1889-04-01,306.54
1889-05-01,315.82
1889-06-01,322.19
1889-07-01,316.71
1889-08-01,321.97
1889-09-01,330.84
1889-10-01,325.90
1889-11-01,323.96
1889-12-01,323.23
1890-01-01,327.86
1890-02-01,325.20
1890-03-01,323.77
1890-04-01,331.54
1890-05-01,346.71
1890-06-01,345.27
1890-07-01,343.89
1890-08-01,336.90
1890-09-01,332.39
1890-10-01,318.41
1890-11-01,296.25
1890-12-01,290.38
1891-01-01,306.60
1891-02-01,311.48
1891-03-01,306.85
1891-04-01,318.15
1891-05-01,317.99
1891-06-01,312.71
1891-07-01,308.72
1891-08-01,320.23
1891-09-01,347.35
1891-10-01,348.49
1891-11-01,344.42
1891-12-01,356.10
1892-01-01,363.87
1892-02-01,365.72
1892-03-01,370.91
1892-04-01,371.47
1892-05-01,372.71
1892-06-01,371.94
1892-07-01,373.17
1892-08-01,379.79
1892-09-01,371.56
1892-10-01,380.27
1892-11-01,380.19
1892-12-01,377.37
1893-01-01,385.55
1893-02-01,380.02
1893-03-01,367.61
1893-04-01,368.98
1893-05-01,337.67
1893-06-01,322.98
1893-07-01,294.21
1893-08-01,288.51
1893-09-01,310.37
1893-10-01,320.88
1893-11-01,327.16
1893-12-01,316.99
1894-01-01,311.78
1894-02-01,317.31
1894-03-01,327.94
1894-04-01,333.51
1894-05-01,322.32
1894-06-01,319.13
1894-07-01,313.72
1894-08-01,326.77
1894-09-01,333.19
1894-10-01,324.01
1894-11-01,325.23
1894-12-01,323.46
1895-01-01,320.92
1895-02-01,317.62
1895-03-01,318.84
1895-04-01,333.71
1895-05-01,353.20
1895-06-01,361.24
1895-07-01,363.91
1895-08-01,370.44
1895-09-01,373.91
1895-10-01,369.63
1895-11-01,358.34
1895-12-01,338.40
1896-01-01,335.56
1896-02-01,350.76
1896-03-01,346.40
1896-04-01,350.73
1896-05-01,350.28
1896-06-01,345.08
1896-07-01,323.88
1896-08-01,306.62
1896-09-01,323.88
1896-10-01,332.29
1896-11-01,356.13
1896-12-01,344.27
1897-01-01,345.42
1897-02-01,343.32
1897-03-01,345.31
1897-04-01,335.75
1897-05-01,338.57
1897-06-01,355.50
1897-07-01,372.50
1897-08-01,397.87
1897-09-01,418.30
1897-10-01,406.02
1897-11-01,392.89
1897-12-01,402.53
1898-01-01,414.73
1898-02-01,415.10
1898-03-01,397.58
1898-04-01,391.98
1898-05-01,418.95
1898-06-01,436.55
1898-07-01,439.58
1898-08-01,457.31
1898-09-01,457.79
1898-10-01,449.57
1898-11-01,465.81
1898-12-01,496.14
1899-01-01,535.31
1899-02-01,556.94
1899-03-01,566.25
1899-04-01,574.70
1899-05-01,552.14
1899-06-01,541.07
1899-07-01,561.27
1899-08-01,577.04
1899-09-01,572.24
1899-10-01,571.07
1899-11-01,583.43
1899-12-01,545.27
1900-01-01,554.22
1900-02-01,565.93
1900-03-01,572.21
1900-04-01,581.30
1900-05-01,555.58
1900-06-01,540.82
1900-07-01,542.59
1900-08-01,551.84
1900-09-01,540.73
1900-10-01,562.32
1900-11-01,608.32
1900-12-01,646.99
1901-01-01,667.84
1901-02-01,686.88
1901-03-01,713.45
1901-04-01,775.22
1901-05-01,738.13
1901-06-01,813.76
1901-07-01,761.35
1901-08-01,774.07
1901-09-01,772.48
1901-10-01,766.08
1901-11-01,784.80
1901-12-01,774.56
1902-01-01,793.52
1902-02-01,802.72
1902-03-01,806.15
1902-04-01,836.14
1902-05-01,836.53
1902-06-01,834.05
1902-07-01,855.40
1902-08-01,880.82
1902-09-01,885.39
1902-10-01,859.95
1902-11-01,829.37
1902-12-01,812.84
1903-01-01,856.87
1903-02-01,854.46
1903-03-01,823.59
1903-04-01,792.61
1903-05-01,779.94
1903-06-01,739.60
1903-07-01,718.73
1903-08-01,688.44
1903-09-01,674.64
1903-10-01,655.56
1903-11-01,660.50
1903-12-01,693.63
1904-01-01,707.79
1904-02-01,691.29
1904-03-01,691.74
1904-04-01,711.41
1904-05-01,699.02
1904-06-01,702.71
1904-07-01,734.49
1904-08-01,762.06
1904-09-01,798.42
1904-10-01,847.98
1904-11-01,896.61
1904-12-01,908.08
1905-01-01,930.64
1905-02-01,974.30
1905-03-01,1004.79
1905-04-01,995.41
1905-05-01,949.25
1905-06-01,963.22
1905-07-01,996.27
1905-08-01,1036.22
1905-09-01,1042.51
1905-10-01,1060.17
1905-11-01,1057.48
1905-12-01,1086.60
1906-01-01,1127.20
1906-02-01,1122.29
1906-03-01,1098.01
1906-04-01,1086.27
1906-05-01,1060.68
1906-06-01,1077.74
1906-07-01,1053.15
1906-08-01,1134.20
1906-09-01,1172.56
1906-10-01,1169.00
1906-11-01,1167.83
1906-12-01,1160.93
1907-01-01,1131.62
1907-02-01,1099.90
1907-03-01,995.84
1907-04-01,1004.67
1907-05-01,973.98
1907-06-01,946.82
1907-07-01,987.21
1907-08-01,917.37
1907-09-01,911.87
1907-10-01,817.01
1907-11-01,773.21
1907-12-01,816.95
1908-01-01,855.94
1908-02-01,828.84
1908-03-01,866.79
1908-04-01,917.54
1908-05-01,976.28
1908-06-01,976.28
1908-07-01,1016.12
1908-08-01,1063.82
1908-09-01,1056.32
1908-10-01,1073.45
1908-11-01,1150.36
1908-12-01,1180.60
1909-01-01,1188.83
1909-02-01,1159.05
1909-03-01,1179.23
1909-04-01,1236.54
1909-05-01,1282.12
1909-06-01,1309.26
1909-07-01,1332.53
1909-08-01,1369.28
1909-09-01,1375.31
1909-10-01,1385.42
1909-11-01,1383.37
1909-12-01,1404.54
1910-01-01,1379.35
1910-02-01,1334.94
1910-03-01,1372.84
1910-04-01,1344.69
1910-05-01,1327.52
1910-06-01,1268.74
1910-07-01,1209.74
1910-08-01,1244.32
1910-09-01,1258.05
1910-10-01,1321.27
1910-11-01,1325.21
1910-12-01,1293.60
1911-01-01,1330.63
1911-02-01,1359.21
1911-03-01,1348.81
1911-04-01,1348.50
1911-05-01,1383.08
1911-06-01,1416.33
1911-07-01,1415.99
1911-08-01,1353.91
1911-09-01,1285.64
1911-10-01,1298.62
1911-11-01,1356.32
1911-12-01,1367.92
1912-01-01,1374.95
1912-02-01,1368.47
1912-03-01,1413.59
1912-04-01,1463.47
1912-05-01,1464.71
1912-06-01,1473.61
