DD-MM-YYYY,value
01-02-1871,-0.0115000000
01-03-1871,0.0144000000
01-04-1871,0.0733000000
01-05-1871,0.0518000000
01-06-1871,0.0122000000
01-07-1871,-0.0138000000
01-08-1871,0.0311000000
01-09-1871,-0.0091000000
01-10-1871,-0.0618000000
01-11-1871,0.0153000000
01-12-1871,0.0054000000
01-01-1872,0.0282000000
01-02-1872,0.0097000000
01-03-1872,0.0197000000
01-04-1872,0.0116000000
01-05-1872,0.0043000000
01-06-1872,0.0019000000
01-07-1872,0.0118000000
01-08-1872,-0.0146000000
01-09-1872,-0.0169000000
01-10-1872,0.0303000000
01-11-1872,-0.0265000000
01-12-1872,0.0428000000
01-01-1873,0.0122000000
01-02-1873,-0.0073000000
01-03-1873,-0.0044000000
01-04-1873,-0.0091000000
01-05-1873,0.0303000000
01-06-1873,0.0234000000
01-07-1873,0.0033000000
01-08-1873,0.0058000000
01-09-1873,-0.0717000000
01-10-1873,-0.0589000000
01-11-1873,0.0014000000
01-12-1873,0.0757000000
01-01-1874,0.0416000000
01-02-1874,0.0336000000
01-03-1874,-0.0087000000
01-04-1874,-0.0093000000
01-05-1874,-0.0113000000
01-06-1874,0.0242000000
01-07-1874,-0.0025000000
01-08-1874,0.0164000000
01-09-1874,0.0223000000
01-10-1874,0.0192000000
01-11-1874,0.0193000000
01-12-1874,0.0028000000
01-01-1875,0.0059000000
01-02-1875,0.0032000000
01-03-1875,0.0169000000
01-04-1875,0.0107000000
01-05-1875,-0.0078000000
01-06-1875,0.0001000000
01-07-1875,0.0081000000
01-08-1875,0.0023000000
01-09-1875,0.0024000000
01-10-1875,-0.0090000000
01-11-1875,0.0285000000
01-12-1875,0.0142000000
01-01-1876,0.0377000000
01-02-1876,0.0197000000
01-03-1876,0.0026000000
01-04-1876,-0.0250000000
01-05-1876,0.0034000000
01-06-1876,0.0279000000
01-07-1876,-0.0067000000
01-08-1876,-0.0461000000
01-09-1876,-0.0633000000
01-10-1876,-0.0193000000
01-11-1876,-0.0202000000
01-12-1876,-0.0187000000
01-01-1877,-0.0192000000
01-02-1877,-0.0289000000
01-03-1877,-0.0021000000
01-04-1877,-0.0905000000
01-05-1877,-0.0123000000
01-06-1877,-0.0134000000
01-07-1877,0.0367000000
01-08-1877,0.1162000000
01-09-1877,0.0759000000
01-10-1877,0.0270000000
01-11-1877,0.0086000000
01-12-1877,0.0001000000
01-01-1878,0.0352000000
01-02-1878,-0.0047000000
01-03-1878,0.0416000000
01-04-1878,0.0461000000
01-05-1878,0.0414000000
01-06-1878,0.0493000000
01-07-1878,0.0103000000
01-08-1878,-0.0182000000
01-09-1878,0.0256000000
01-10-1878,0.0044000000
01-11-1878,0.0119000000
01-12-1878,0.0201000000
01-01-1879,0.0320000000
01-02-1879,0.0269000000
01-03-1879,0.0018000000
01-04-1879,0.0466000000
01-05-1879,0.0502000000
01-06-1879,0.0252000000
01-07-1879,0.0076000000
01-08-1879,0.0130000000
01-09-1879,0.0053000000
01-10-1879,0.0534000000
01-11-1879,0.0032000000
01-12-1879,-0.0284000000
01-01-1880,0.0117000000
01-02-1880,0.0230000000
01-03-1880,0.0105000000
01-04-1880,0.0208000000
01-05-1880,-0.0475000000
01-06-1880,0.0276000000
01-07-1880,0.0511000000
01-08-1880,0.0414000000
01-09-1880,-0.0086000000
01-10-1880,0.0328000000
01-11-1880,0.0470000000
01-12-1880,0.0332000000
01-01-1881,0.0740000000
01-02-1881,-0.0105000000
01-03-1881,0.0155000000
01-04-1881,-0.0085000000
01-05-1881,0.0578000000
01-06-1881,0.0149000000
01-07-1881,-0.0402000000
01-08-1881,-0.0390000000
01-09-1881,-0.0261000000
01-10-1881,-0.0214000000
01-11-1881,0.0192000000
01-12-1881,-0.0240000000
01-01-1882,-0.0125000000
01-02-1882,-0.0260000000
01-03-1882,0.0021000000
01-04-1882,-0.0052000000
01-05-1882,-0.0177000000
01-06-1882,-0.0091000000
01-07-1882,0.0711000000
01-08-1882,0.0239000000
01-09-1882,0.0424000000
01-10-1882,-0.0126000000
01-11-1882,-0.0296000000
01-12-1882,0.0184000000
01-01-1883,0.0003000000
01-02-1883,-0.0282000000
01-03-1883,0.0275000000
01-04-1883,0.0361000000
01-05-1883,-0.0049000000
01-06-1883,0.0459000000
01-07-1883,0.0078000000
01-08-1883,-0.0408000000
01-09-1883,0.0269000000
01-10-1883,-0.0220000000
01-11-1883,0.0297000000
01-12-1883,-0.0257000000
01-01-1884,-0.0253000000
01-02-1884,0.0314000000
01-03-1884,0.0003000000
01-04-1884,-0.0146000000
01-05-1884,-0.0607000000
01-06-1884,-0.0343000000
01-07-1884,0.0167000000
01-08-1884,0.0699000000
01-09-1884,-0.0182000000
01-10-1884,-0.0167000000
01-11-1884,0.0080000000
01-12-1884,0.0140000000
01-01-1885,-0.0179000000
01-02-1885,0.0240000000
01-03-1885,0.0306000000
01-04-1885,-0.0092000000
01-05-1885,0.0165000000
01-06-1885,0.0241000000
01-07-1885,0.0293000000
01-08-1885,0.0603000000
01-09-1885,0.0032000000
01-10-1885,0.0621000000
01-11-1885,0.0560000000
01-12-1885,-0.0273000000
01-01-1886,0.0274000000
01-02-1886,0.0227000000
01-03-1886,-0.0055000000
01-04-1886,0.0020000000
01-05-1886,0.0086000000
01-06-1886,0.0624000000
01-07-1886,0.0057000000
01-08-1886,-0.0019000000
01-09-1886,0.0292000000
01-10-1886,0.0284000000
01-11-1886,0.0277000000
01-12-1886,-0.0348000000
01-01-1887,-0.0312000000
01-02-1887,-0.0158000000
01-03-1887,0.0266000000
01-04-1887,0.0260000000
01-05-1887,0.0203000000
01-06-1887,-0.0142000000
01-07-1887,-0.0093000000
01-08-1887,-0.0332000000
01-09-1887,0.0027000000
01-10-1887,-0.0413000000
01-11-1887,0.0111000000
01-12-1887,-0.0247000000
01-01-1888,-0.0001000000
01-02-1888,0.0096000000
01-03-1888,-0.0340000000
01-04-1888,0.0197000000
01-05-1888,0.0296000000
01-06-1888,-0.0158000000
01-07-1888,0.0175000000
01-08-1888,0.0250000000
01-09-1888,0.0282000000
01-10-1888,-0.0139000000
01-11-1888,-0.0287000000
01-12-1888,-0.0159000000
01-01-1889,0.0592000000
01-02-1889,0.0269000000
01-03-1889,-0.0056000000
01-04-1889,0.0013000000
01-05-1889,0.0560000000
01-06-1889,0.0202000000
01-07-1889,-0.0170000000
01-08-1889,0.0166000000
01-09-1889,0.0149000000
01-10-1889,-0.0149000000
01-11-1889,-0.0060000000
01-12-1889,-0.0144000000
01-01-1890,0.0397000000
01-02-1890,-0.0081000000
01-03-1890,-0.0044000000
01-04-1890,0.0240000000
01-05-1890,0.0328000000
01-06-1890,-0.0041000000
01-07-1890,-0.0040000000
01-08-1890,-0.0553000000
01-09-1890,-0.0250000000
01-10-1890,-0.0421000000
01-11-1890,-0.0472000000
01-12-1890,-0.0198000000
01-01-1891,0.0687000000
01-02-1891,0.0036000000
01-03-1891,-0.0266000000
01-04-1891,0.0246000000
01-05-1891,0.0114000000
01-06-1891,0.0074000000
01-07-1891,-0.0006000000
01-08-1891,0.0373000000
01-09-1891,0.0983000000
01-10-1891,0.0033000000
01-11-1891,0.0008000000
01-12-1891,0.0339000000
01-01-1892,0.0484000000
01-02-1892,0.0051000000
01-03-1892,0.0412000000
01-04-1892,0.0150000000
01-05-1892,0.0033000000
01-06-1892,-0.0021000000
01-07-1892,-0.0231000000
01-08-1892,0.0045000000
01-09-1892,-0.0217000000
01-10-1892,0.0234000000
01-11-1892,-0.0255000000
01-12-1892,-0.0198000000
01-01-1893,-0.0153000000
01-02-1893,-0.0261000000
01-03-1893,-0.0091000000
01-04-1893,0.0161000000
01-05-1893,-0.0734000000
01-06-1893,-0.0190000000
01-07-1893,-0.0651000000
01-08-1893,0.0209000000
01-09-1893,0.0333000000
01-10-1893,0.0204000000
01-11-1893,0.0467000000
01-12-1893,-0.0180000000
01-01-1894,0.0109000000
01-02-1894,0.0321000000
01-03-1894,0.0634000000
01-04-1894,0.0170000000
01-05-1894,-0.0336000000
01-06-1894,-0.0099000000
01-07-1894,-0.0170000000
01-08-1894,0.0123000000
01-09-1894,0.0055000000
01-10-1894,0.0002000000
01-11-1894,0.0038000000
01-12-1894,0.0090000000
01-01-1895,-0.0079000000
01-02-1895,-0.0103000000
01-03-1895,0.0038000000
01-04-1895,0.0030000000
01-05-1895,0.0439000000
01-06-1895,0.0089000000
01-07-1895,0.0212000000
01-08-1895,0.0321000000
01-09-1895,0.0094000000
01-10-1895,-0.0114000000
01-11-1895,-0.0306000000
01-12-1895,-0.0423000000
01-01-1896,0.0058000000
01-02-1896,0.0605000000
01-03-1896,-0.0124000000
01-04-1896,0.0274000000
01-05-1896,0.0136000000
01-06-1896,0.0001000000
01-07-1896,-0.0614000000
01-08-1896,-0.0533000000
01-09-1896,0.0563000000
01-10-1896,-0.0042000000
01-11-1896,0.0411000000
01-12-1896,-0.0333000000
01-01-1897,0.0328000000
01-02-1897,-0.0061000000
01-03-1897,0.0058000000
01-04-1897,-0.0132000000
01-05-1897,0.0237000000
01-06-1897,0.0500000000
01-07-1897,0.0478000000
01-08-1897,0.0217000000
01-09-1897,0.0217000000
01-10-1897,-0.0155000000
01-11-1897,-0.0323000000
01-12-1897,0.0245000000
01-01-1898,0.0303000000
01-02-1898,-0.0132000000
01-03-1898,-0.0422000000
01-04-1898,-0.0141000000
01-05-1898,-0.0015000000
01-06-1898,0.1154000000
01-07-1898,0.0213000000
01-08-1898,0.0403000000
01-09-1898,0.0010000000
01-10-1898,-0.0180000000
01-11-1898,0.0361000000
01-12-1898,0.0501000000
01-01-1899,0.0789000000
01-02-1899,0.0119000000
01-03-1899,0.0167000000
01-04-1899,0.0012000000
01-05-1899,-0.0393000000
01-06-1899,-0.0331000000
01-07-1899,0.0237000000
01-08-1899,0.0148000000
01-09-1899,-0.0455000000
01-10-1899,-0.0144000000
01-11-1899,0.0092000000
01-12-1899,-0.0767000000
01-01-1900,0.0164000000
01-02-1900,0.0090000000
01-03-1900,0.0111000000
01-04-1900,0.0159000000
01-05-1900,-0.0209000000
01-06-1900,-0.0146000000
01-07-1900,-0.0090000000
01-08-1900,0.0296000000
01-09-1900,-0.0321000000
01-10-1900,0.0528000000
01-11-1900,0.0818000000
01-12-1900,0.0769000000
01-01-1901,0.0195000000
01-02-1901,0.0414000000
01-03-1901,0.0387000000
01-04-1901,0.1003000000
01-05-1901,-0.0478000000
01-06-1901,0.1025000000
01-07-1901,-0.0761000000
01-08-1901,0.0042000000
01-09-1901,-0.0142000000
01-10-1901,-0.0083000000
01-11-1901,0.0121000000
01-12-1901,-0.0248000000
01-01-1902,0.0368000000
01-02-1902,0.0116000000
01-03-1902,0.0043000000
01-04-1902,0.0249000000
01-05-1902,-0.0113000000
01-06-1902,-0.0146000000
01-07-1902,0.0256000000
01-08-1902,0.0418000000
01-09-1902,-0.0065000000
01-10-1902,-0.0921000000
01-11-1902,-0.0030000000
01-12-1902,-0.0308000000
01-01-1903,0.0426000000
01-02-1903,-0.0028000000
01-03-1903,-0.0033000000
01-04-1903,-0.0376000000
01-05-1903,0.0069000000
01-06-1903,-0.0517000000
01-07-1903,-0.0282000000
01-08-1903,-0.0421000000
01-09-1903,-0.0313000000
01-10-1903,-0.0170000000
01-11-1903,0.0194000000
01-12-1903,0.0502000000
01-01-1904,-0.0030000000
01-02-1904,-0.0453000000
01-03-1904,0.0120000000
01-04-1904,0.0403000000
01-05-1904,0.0057000000
01-06-1904,0.0053000000
01-07-1904,0.0452000000
01-08-1904,0.0255000000
01-09-1904,0.0357000000
01-10-1904,0.0621000000
01-11-1904,0.0336000000
01-12-1904,0.0128000000
01-01-1905,0.0248000000
01-02-1905,0.0469000000
01-03-1905,0.0430000000
